ID,oof
TRAIN_00000,0.06188773142258604
TRAIN_00001,0.0734715412910236
TRAIN_00002,0.09224117208923185
TRAIN_00003,0.15437092178521375
TRAIN_00004,0.1093056693126051
TRAIN_00005,0.08413337526636656
TRAIN_00006,0.04606348057733447
TRAIN_00007,0.07905385809551366
TRAIN_00008,0.1233164297528667
TRAIN_00009,0.10567545265658997
TRAIN_00010,0.17243757562474415
TRAIN_00011,0.03808511063195167
TRAIN_00012,0.0645411597868004
TRAIN_00013,0.04372451965155138
TRAIN_00014,0.2657310209206984
TRAIN_00015,0.05951801030709039
TRAIN_00016,0.1627886222304916
TRAIN_00017,0.04787721313558821
TRAIN_00018,0.038825874897605236
TRAIN_00019,0.05589669093892137
TRAIN_00020,0.14835060218627572
TRAIN_00021,0.12002963126946851
TRAIN_00022,0.040259792729251564
TRAIN_00023,0.057222026017294744
TRAIN_00024,0.11967632090465481
TRAIN_00025,0.04735110119090324
TRAIN_00026,0.10636688340503236
TRAIN_00027,0.037876158865094045
TRAIN_00028,0.09931461285698623
TRAIN_00029,0.05773881889161079
TRAIN_00030,0.08232477512549964
TRAIN_00031,0.12056104005644869
TRAIN_00032,0.16176831395004962
TRAIN_00033,0.1269534628256024
TRAIN_00034,0.0959494207775524
TRAIN_00035,0.23445407879021096
TRAIN_00036,0.09865213223942002
TRAIN_00037,0.04199958195525557
TRAIN_00038,0.0962629230172826
TRAIN_00039,0.10300667258902703
TRAIN_00040,0.07959919870244865
TRAIN_00041,0.05004203460621711
TRAIN_00042,0.08223804839699933
TRAIN_00043,0.03141477408293789
TRAIN_00044,0.029872895695466396
TRAIN_00045,0.08328697792653578
TRAIN_00046,0.10237023074742449
TRAIN_00047,0.03351691532391393
TRAIN_00048,0.06760644626473343
TRAIN_00049,0.055521715960706965
TRAIN_00050,0.1530496951196612
TRAIN_00051,0.09626567001809398
TRAIN_00052,0.05134220448978511
TRAIN_00053,0.08622482525111269
TRAIN_00054,0.10249668819165594
TRAIN_00055,0.034647054456249375
TRAIN_00056,0.06562991871282499
TRAIN_00057,0.3159272575553172
TRAIN_00058,0.05438682087542175
TRAIN_00059,0.130987844061475
TRAIN_00060,0.11310204590897022
TRAIN_00061,0.030449060678332366
TRAIN_00062,0.0196372710798674
TRAIN_00063,0.055059650292543845
TRAIN_00064,0.037214718166363306
TRAIN_00065,0.049497243586020145
TRAIN_00066,0.1615273575426377
TRAIN_00067,0.158297958033412
TRAIN_00068,0.06572575045847207
TRAIN_00069,0.11381285306272303
TRAIN_00070,0.03832158109669508
TRAIN_00071,0.08379303977223237
TRAIN_00072,0.03221094565723287
TRAIN_00073,0.02328270241723516
TRAIN_00074,0.14978626615233165
TRAIN_00075,0.12296393725526512
TRAIN_00076,0.0440034370884054
TRAIN_00077,0.107039201712032
TRAIN_00078,0.09927963578216387
TRAIN_00079,0.043902128651584924
TRAIN_00080,0.11592715632035692
TRAIN_00081,0.15586891120258034
TRAIN_00082,0.07421260843267373
TRAIN_00083,0.13943876528279384
TRAIN_00084,0.07944536502840172
TRAIN_00085,0.030693337032154988
TRAIN_00086,0.0888650012166
TRAIN_00087,0.10088908517897084
TRAIN_00088,0.17135974234212872
TRAIN_00089,0.07634089591237046
TRAIN_00090,0.11281053647507407
TRAIN_00091,0.0595379087397156
TRAIN_00092,0.1770340596235152
TRAIN_00093,0.12925922271003132
TRAIN_00094,0.09763442321369717
TRAIN_00095,0.04414358887626402
TRAIN_00096,0.0427119379098349
